Time,bitfinex,campbx,cex.io,coinbase,exmo,gemini,hitbtc,itbit,others,therocktrading
2017-10-30 00:00:00 UTC,6128.77287901977,,6127.65604326645,6121.57622849584,5973.443547212,6116.98616051793,6127.72404373857,6120.67866329754,6079.106189625029,6135.73991165414
2017-10-31 00:00:00 UTC,6247.69662314481,6100.0,6236.73825566009,6248.95927440259,6128.99590544967,6244.45254953723,6246.83994717225,6242.31342137637,6214.828095285883,6265.77852999382
2017-11-01 00:00:00 UTC,6499.70898295055,6490.0,6535.64077887329,6518.15939871442,6448.54105655964,6511.38262193059,6501.46979132372,6508.32597104393,6481.188814933937,6501.31197918247
2017-11-02 00:00:00 UTC,6940.88853648197,,7059.02297366729,7003.72379280634,6941.91953378728,6956.89463186908,6943.11946647941,6965.87404992176,6916.044194264151,6997.72730418863
2017-11-03 00:00:00 UTC,7221.22876643325,7120.0,7360.46050036283,7247.11652052591,7155.05763062631,7235.77967882333,7192.69749718486,7241.89874166094,7195.046662898174,7242.848111508
2017-11-04 00:00:00 UTC,7236.55157206065,7058.5,7367.2990335838,7273.03314825212,7136.96716350582,7274.96732087047,7214.94379904293,7258.34232829186,7205.864868121421,7250.83460940147
2017-11-05 00:00:00 UTC,7451.840691198,7120.0,7606.88450667758,7485.56775239472,7343.90972422772,7461.78307963933,7450.26126253538,7467.75576232347,7402.996224332933,7465.82070828414
2017-11-06 00:00:00 UTC,7219.34135604102,7600.0,7459.39188840372,7236.51731960677,7235.32434710892,7223.7561200602,7220.65537023929,7227.99579827899,7196.438866618394,7240.61948868493
2017-11-07 00:00:00 UTC,7086.69751122881,7600.0,7304.81035476274,7112.86387440432,7094.50011387442,7107.71790491598,7089.57550451723,7101.52256469388,7057.53341410462,7117.48604421769
2017-11-08 00:00:00 UTC,7372.53623692309,7320.0,7458.06016794847,7383.63423501969,7277.01212404412,7381.65222353788,7350.3703006172,7382.75442323056,7330.96088223123,7386.07044386751
2017-11-09 00:00:00 UTC,7220.44420208523,7498.32142857143,7357.39084306291,7245.14706953726,7171.2013249974,7245.06005699201,7214.5524453945,7238.91475815427,7218.674572756962,7299.6239039294
2017-11-10 00:00:00 UTC,6922.49912638771,6562.5625,7116.6684344223,6964.30616734454,6914.26198323779,6956.644296237,6914.50101687063,6951.1095664461,6929.427731292413,6963.11508883246
2017-11-11 00:00:00 UTC,6502.37993370451,6633.33333333333,6724.71347113734,6557.02606578097,6554.86932933719,6542.95653428515,6497.10711292383,6536.90428848886,6505.028246260237,6554.20542089468
2017-11-12 00:00:00 UTC,6055.08166641732,6200.0,6325.70637467869,6094.84605327099,6120.29973889439,6086.59967106791,6084.51715441868,6082.72455443195,6060.277254327404,6151.12944115287
2017-11-13 00:00:00 UTC,6278.89184030916,,6581.51313591112,6358.65625995789,6346.61020660382,6341.62295919713,6304.10614198776,6332.58341244243,6311.1950756475535,6415.42687644173
