Time,bit-x,bitfinex,bitflyer,bithumb,bitstamp,coinbase,gemini,hitbtc,kraken,others
2017-10-30 00:00:00 UTC,4332.826,30643.7660027501,17281.71865921,15151.67895284,10795.80928796,9210.86815295,4508.600816867,4138.40999999999,8497.43320221,14554.527867651008
2017-10-31 00:00:00 UTC,4045.346,37516.8872953801,21226.35605427,26402.58359147,15605.24680504,17339.1484966799,6060.14761316329,6817.91999999997,10995.24183686,19589.26830360949
2017-11-01 00:00:00 UTC,4086.133,56273.3176022701,23574.2191395699,26748.73044065,15227.55179031,24388.2235768698,8013.59677462809,7151.72999999997,16014.88713951,18617.6835289458
2017-11-02 00:00:00 UTC,2104.733,96553.3302478706,42975.2533413403,50020.3320886302,32646.9151927,40659.6275250999,14665.2488263657,8184.25999999995,19171.72476788,34080.59393583233
2017-11-03 00:00:00 UTC,2605.404,60954.7646714802,32448.6942590799,25378.60343577,19338.04927665,27244.8182796499,8651.31353656209,7604.25999999998,14541.90960348,20846.79807152809
2017-11-04 00:00:00 UTC,3168.452,48140.0595062601,23185.5454682999,20649.02851507,11019.98714089,15263.39841761,3562.1370253197,6863.28999999998,8071.04049295,13843.38391843588
2017-11-05 00:00:00 UTC,2545.334,44603.7235372501,20895.6348004499,21870.45128051,10935.05216699,17802.49590195,5162.1741700874,7204.73999999996,7730.69981395,12776.143631239822
2017-11-06 00:00:00 UTC,3299.995,62453.5125895803,27507.3316508099,24844.5929628299,23373.54662658,27059.4858860398,7818.73183540991,8215.77999999996,14744.32906261,20613.25252626739
2017-11-07 00:00:00 UTC,2950.654,37306.59812575,19553.3902129199,16943.39871867,14176.23389586,16483.5403578999,5243.9187059796,6717.16,8717.65441536999,13400.00073912233
2017-11-08 00:00:00 UTC,2962.528,94976.3739008403,28966.37083468,34865.82893841,29770.06912179,38180.3945084904,14690.6196448679,8713.23999999989,16197.45820436,23563.74342511724
2017-11-09 00:00:00 UTC,4013.468,49377.9781727001,22066.6838884799,32719.8351804599,17717.76780348,21101.4507665999,7650.4880992352,7061.62999999996,14116.26501513,16231.169773478648
2017-11-10 00:00:00 UTC,4045.192,87568.3283755907,41406.3787073303,66511.4624692603,32612.58367464,38096.8549761799,16402.1189050696,10992.9699999999,29418.15384777,35947.23854293457
2017-11-11 00:00:00 UTC,3330.241,72840.9568460603,37977.5802802501,53811.7727692302,18303.10289579,30131.1584478299,10392.515513683,12060.2199999998,19491.70801913,25484.09011500497
