Category: All categories

Day,bitcoin: (Worldwide)
2018-07-01,46
2018-07-02,52
2018-07-03,51
2018-07-04,47
2018-07-05,49
2018-07-06,44
2018-07-07,38
2018-07-08,43
2018-07-09,45
2018-07-10,48
2018-07-11,44
2018-07-12,48
2018-07-13,45
2018-07-14,41
2018-07-15,39
2018-07-16,47
2018-07-17,62
2018-07-18,68
2018-07-19,59
2018-07-20,53
2018-07-21,45
2018-07-22,46
2018-07-23,57
2018-07-24,73
2018-07-25,67
2018-07-26,60
2018-07-27,58
2018-07-28,47
2018-07-29,47
2018-07-30,52
2018-07-31,54
2018-08-01,53
2018-08-02,49
2018-08-03,51
2018-08-04,49
2018-08-05,46
2018-08-06,51
2018-08-07,53
2018-08-08,66
2018-08-09,55
2018-08-10,53
2018-08-11,53
2018-08-12,45
2018-08-13,52
2018-08-14,66
2018-08-15,59
2018-08-16,51
2018-08-17,51
2018-08-18,43
2018-08-19,42
2018-08-20,47
2018-08-21,50
2018-08-22,53
2018-08-23,50
2018-08-24,45
2018-08-25,42
2018-08-26,40
2018-08-27,45
2018-08-28,55
2018-08-29,51
2018-08-30,50
2018-08-31,46
2018-09-01,43
2018-09-02,45
2018-09-03,48
2018-09-04,50
2018-09-05,60
2018-09-06,69
2018-09-07,53
2018-09-08,45
2018-09-09,45
2018-09-10,50
2018-09-11,50
2018-09-12,54
2018-09-13,51
2018-09-14,46
2018-09-15,42
2018-09-16,39
2018-09-17,44
2018-09-18,44
2018-09-19,45
2018-09-20,44
2018-09-21,50
2018-09-22,42
2018-09-23,38
2018-09-24,43
2018-09-25,43
2018-09-26,44
2018-09-27,42
2018-09-28,42
2018-09-29,35
2018-09-30,35
2018-10-01,38
2018-10-02,40
2018-10-03,39
2018-10-04,40
2018-10-05,38
2018-10-06,34
2018-10-07,32
2018-10-08,39
2018-10-09,40
2018-10-10,42
2018-10-11,53
2018-10-12,44
2018-10-13,37
2018-10-14,36
2018-10-15,48
2018-10-16,42
2018-10-17,40
2018-10-18,39
2018-10-19,38
2018-10-20,33
2018-10-21,34
2018-10-22,37
2018-10-23,39
2018-10-24,40
2018-10-25,39
2018-10-26,37
2018-10-27,33
2018-10-28,31
2018-10-29,40
2018-10-30,38
2018-10-31,40
2018-11-01,39
2018-11-02,38
2018-11-03,33
2018-11-04,38
2018-11-05,42
2018-11-06,41
2018-11-07,39
2018-11-08,39
2018-11-09,39
2018-11-10,32
2018-11-11,33
2018-11-12,37
2018-11-13,38
2018-11-14,62
2018-11-15,70
2018-11-16,55
2018-11-17,44
2018-11-18,40
2018-11-19,70
2018-11-20,100
2018-11-21,78
2018-11-22,58
2018-11-23,59
2018-11-24,55
2018-11-25,82
2018-11-26,84
2018-11-27,74
2018-11-28,68
2018-11-29,61
2018-11-30,55
2018-12-01,48
2018-12-02,43
2018-12-03,55
2018-12-04,54
2018-12-05,51
2018-12-06,58
2018-12-07,72
2018-12-08,56
2018-12-09,50
2018-12-10,56
2018-12-11,52
2018-12-12,49
2018-12-13,51
2018-12-14,56
2018-12-15,51
2018-12-16,46
2018-12-17,57
2018-12-18,55
2018-12-19,61
2018-12-20,63
2018-12-21,57
2018-12-22,48
2018-12-23,47
2018-12-24,54
2018-12-25,50
2018-12-26,48
2018-12-27,49
2018-12-28,49
2018-12-29,45
2018-12-30,41
2018-12-31,41
2019-01-01,40
2019-01-02,45
2019-01-03,46
2019-01-04,45
2019-01-05,36
2019-01-06,39
2019-01-07,43
2019-01-08,42
2019-01-09,43
2019-01-10,50
2019-01-11,45
2019-01-12,39
2019-01-13,38
2019-01-14,42
2019-01-15,39
2019-01-16,39
2019-01-17,38
2019-01-18,37
2019-01-19,33
2019-01-20,33
2019-01-21,36
2019-01-22,36
2019-01-23,35
2019-01-24,38
2019-01-25,35
2019-01-26,32
2019-01-27,33
2019-01-28,39
2019-01-29,39
2019-01-30,36
2019-01-31,37
2019-02-01,35
2019-02-02,32
2019-02-03,30
2019-02-04,39
2019-02-05,44
2019-02-06,42
2019-02-07,39
2019-02-08,41
2019-02-09,38
2019-02-10,34
2019-02-11,37
2019-02-12,37
2019-02-13,36
2019-02-14,34
2019-02-15,33
2019-02-16,32
2019-02-17,31
2019-02-18,44
2019-02-19,46
2019-02-20,42
2019-02-21,40
2019-02-22,40
2019-02-23,40
2019-02-24,48
2019-02-25,40
2019-02-26,38
2019-02-27,36
2019-02-28,36
