Category: All categories

Day,bitcoin: (Worldwide)
2019-03-01,18
2019-03-02,16
2019-03-03,16
2019-03-04,18
2019-03-05,19
2019-03-06,19
2019-03-07,19
2019-03-08,17
2019-03-09,17
2019-03-10,16
2019-03-11,18
2019-03-12,18
2019-03-13,17
2019-03-14,16
2019-03-15,16
2019-03-16,17
2019-03-17,16
2019-03-18,18
2019-03-19,19
2019-03-20,19
2019-03-21,20
2019-03-22,18
2019-03-23,16
2019-03-24,16
2019-03-25,17
2019-03-26,17
2019-03-27,19
2019-03-28,18
2019-03-29,18
2019-03-30,16
2019-03-31,15
2019-04-01,19
2019-04-02,43
2019-04-03,44
2019-04-04,33
2019-04-05,27
2019-04-06,23
2019-04-07,23
2019-04-08,29
2019-04-09,26
2019-04-10,26
2019-04-11,26
2019-04-12,23
2019-04-13,20
2019-04-14,19
2019-04-15,23
2019-04-16,23
2019-04-17,23
2019-04-18,22
2019-04-19,21
2019-04-20,21
2019-04-21,19
2019-04-22,22
2019-04-23,29
2019-04-24,26
2019-04-25,24
2019-04-26,25
2019-04-27,19
2019-04-28,19
2019-04-29,21
2019-04-30,20
2019-05-01,20
2019-05-02,22
2019-05-03,27
2019-05-04,24
2019-05-05,23
2019-05-06,24
2019-05-07,27
2019-05-08,28
2019-05-09,31
2019-05-10,33
2019-05-11,43
2019-05-12,45
2019-05-13,51
2019-05-14,61
2019-05-15,49
2019-05-16,45
2019-05-17,46
2019-05-18,33
2019-05-19,37
2019-05-20,38
2019-05-21,37
2019-05-22,34
2019-05-23,32
2019-05-24,32
2019-05-25,27
2019-05-26,30
2019-05-27,43
2019-05-28,38
2019-05-29,36
2019-05-30,38
2019-05-31,35
2019-06-01,30
2019-06-02,29
2019-06-03,31
2019-06-04,36
2019-06-05,31
2019-06-06,29
2019-06-07,30
2019-06-08,25
2019-06-09,25
2019-06-10,27
2019-06-11,27
2019-06-12,27
2019-06-13,28
2019-06-14,30
2019-06-15,30
2019-06-16,37
2019-06-17,39
2019-06-18,39
2019-06-19,34
2019-06-20,34
2019-06-21,44
2019-06-22,69
2019-06-23,49
2019-06-24,50
2019-06-25,56
2019-06-26,100
2019-06-27,82
2019-06-28,63
2019-06-29,49
2019-06-30,42
2019-07-01,49
2019-07-02,49
2019-07-03,44
2019-07-04,41
2019-07-05,38
2019-07-06,33
2019-07-07,32
2019-07-08,40
2019-07-09,45
2019-07-10,47
2019-07-11,43
2019-07-12,43
2019-07-13,35
2019-07-14,36
2019-07-15,43
2019-07-16,44
2019-07-17,45
2019-07-18,42
2019-07-19,37
2019-07-20,31
2019-07-21,31
2019-07-22,32
2019-07-23,34
2019-07-24,34
2019-07-25,34
2019-07-26,30
2019-07-27,31
2019-07-28,29
2019-07-29,32
2019-07-30,30
2019-07-31,31
2019-08-01,31
2019-08-02,33
2019-08-03,30
2019-08-04,30
2019-08-05,44
2019-08-06,42
2019-08-07,38
2019-08-08,36
2019-08-09,33
2019-08-10,30
2019-08-11,28
2019-08-12,32
2019-08-13,32
2019-08-14,36
2019-08-15,38
2019-08-16,32
2019-08-17,28
2019-08-18,27
2019-08-19,32
2019-08-20,31
2019-08-21,32
2019-08-22,30
2019-08-23,29
2019-08-24,26
2019-08-25,25
2019-08-26,29
2019-08-27,28
2019-08-28,30
2019-08-29,32
2019-08-30,28
2019-08-31,24
2019-09-01,23
2019-09-02,29
2019-09-03,32
2019-09-04,29
2019-09-05,26
2019-09-06,28
2019-09-07,24
2019-09-08,23
2019-09-09,26
2019-09-10,25
2019-09-11,25
2019-09-12,26
2019-09-13,24
2019-09-14,21
2019-09-15,21
2019-09-16,23
2019-09-17,23
2019-09-18,23
2019-09-19,25
2019-09-20,23
2019-09-21,20
2019-09-22,21
2019-09-23,24
2019-09-24,34
2019-09-25,39
2019-09-26,36
2019-09-27,32
2019-09-28,26
2019-09-29,24
2019-09-30,29
2019-10-01,27
2019-10-02,25
2019-10-03,26
2019-10-04,23
2019-10-05,21
2019-10-06,22
2019-10-07,26
2019-10-08,25
2019-10-09,25
2019-10-10,24
2019-10-11,23
2019-10-12,21
2019-10-13,20
2019-10-14,22
2019-10-15,23
2019-10-16,23
2019-10-17,23
2019-10-18,23
2019-10-19,20
2019-10-20,20
2019-10-21,22
2019-10-22,22
2019-10-23,28
2019-10-24,27
2019-10-25,29
2019-10-26,40
